time,lat,lon,vehicle_speed,accel_x,accel_y,accel_z,engine_rpm,absolute_throttle_pos,fuel_level,gps_speed,fuel_rate,alcohol_fuel_percentage,fuel_remaining,instant_fuel_economy,calculated_load_value,accelerator_pedal_pos_d,accelerator_pedal_pos_e,id_route,vehicle,loc_coleta,time_sec,dt,x,y,P_kW,client
0.02,-20.04653,-43.96318,0,0.1218413,0.8449386,7.598927,0.0,0.0,0.0,0.04489139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CSVLog_20240920_092511,nivus,rjdf,0.02,0.0,0.0,0.0,0.0,client3
2.755,-20.04653,-43.96324,0,0.04776376,0.04083013,-0.1023584,988.0,16.07843,90.19608,0.93529,2.122242,63.52941,12.62745,0.0,16.07843,14.5098,14.5098,CSVLog_20240920_092511,nivus,rjdf,2.755,0.0019999999999997797,-6.267487956848231,0.0,20.5503767,client3
3.767,-20.04651,-43.96323,0,0.03876924,0.03451929,0.09078551,983.0,16.07843,90.19608,0.4691009,2.05628,63.52941,12.62745,0.0,15.68627,14.5098,14.5098,CSVLog_20240920_092511,nivus,rjdf,3.767,0.0,-5.222906963772409,2.2238985328429384,19.911644666666668,client3
4.746,-20.0465,-43.96322,0,-0.001915762,-0.09299102,0.1818252,995.5,15.68627,90.19608,0.6476046,2.082603,63.52941,12.62745,0.0,15.29412,14.5098,14.5098,CSVLog_20240920_092511,nivus,rjdf,4.746,0.004000000000000448,-4.178325703269544,3.335847799087577,20.166539050000004,client3
5.744,-20.0465,-43.9632,0,0.01636633,0.01745743,-0.01703504,1005.0,15.68627,90.19608,0.4327656,2.05747,63.52941,12.62745,0.0,14.90196,14.5098,14.5098,CSVLog_20240920_092511,nivus,rjdf,5.744,0.0009999999999994458,-2.089162851634772,3.335847799087577,19.923167833333334,client3
7.771,-20.0465,-43.9632,0,-0.05547251,0.001394722,-0.01652253,995.5,15.29412,90.19608,0.3408635,1.946859,63.52941,12.62745,0.0,13.72549,14.5098,14.5098,CSVLog_20240920_092511,nivus,rjdf,7.771,0.0039999999999995595,-2.089162851634772,3.335847799087577,18.85208465,client3
8.771,-20.0465,-43.9632,0,-0.01561349,-0.0286621,0.008260092,989.5,15.29412,90.19608,0.2226369,1.863369,63.52941,12.62745,0.0,13.33333,14.5098,14.5098,CSVLog_20240920_092511,nivus,rjdf,8.771,0.0030000000000001137,-2.089162851634772,3.335847799087577,18.04362315,client3
9.761,-20.0465,-43.9632,0,0.007378793,-0.006320198,0.07303756,980.0,14.90196,90.19608,0.1051957,1.800722,63.52941,12.62745,0.0,12.94118,14.5098,14.5098,CSVLog_20240920_092511,nivus,rjdf,9.761,0.0039999999999995595,-2.089162851634772,3.335847799087577,17.436991366666664,client3
10.582,-20.0465,-43.9632,0,-0.1123648,-0.01631884,0.09314741,973.5,14.90196,90.19608,0.078752,1.754337,63.52941,12.62745,0.0,12.54902,14.5098,14.5098,CSVLog_20240920_092511,nivus,rjdf,10.582,0.002000000000000668,-2.089162851634772,3.335847799087577,16.98782995,client3
11.734,-20.0465,-43.9632,0,0.03334746,0.06919013,0.05522904,976.0,14.90196,90.19608,0.01117765,1.745368,63.52941,12.62745,0.0,12.94118,14.5098,14.5098,CSVLog_20240920_092511,nivus,rjdf,11.734,0.0039999999999995595,-2.089162851634772,3.335847799087577,16.900980133333334,client3
12.725,-20.0465,-43.9632,0,-0.003318536,0.01251639,-0.05478891,973.0,14.90196,90.19608,0.00276012,1.751646,63.52941,12.62745,0.0,12.54902,14.5098,14.5098,CSVLog_20240920_092511,nivus,rjdf,12.725,0.0030000000000001137,-2.089162851634772,3.335847799087577,16.9617721,client3
13.755,-20.0465,-43.9632,0,-1.029748,0.4250408,-5.148325,977.5,14.90196,90.19608,0.0006690216,1.752543,63.52941,12.62745,0.0,12.94118,14.5098,14.5098,CSVLog_20240920_092511,nivus,rjdf,13.755,0.002000000000000668,-2.089162851634772,3.335847799087577,16.970458049999998,client3
14.76,-20.0465,-43.9632,0,-0.4820836,1.133062,-0.8459826,990.5,14.90196,90.19608,0.0003192102,1.731992,63.52941,12.62745,0.0,12.54902,14.5098,14.5098,CSVLog_20240920_092511,nivus,rjdf,14.76,0.0039999999999995595,-2.089162851634772,3.335847799087577,16.771455866666667,client3
15.738,-20.0465,-43.9632,0,2.618917,0.2129712,2.221592,985.5,14.5098,90.19608,0.0001496138,1.641601,63.52941,12.62745,0.0,11.76471,14.5098,14.5098,CSVLog_20240920_092511,nivus,rjdf,15.738,0.0009999999999994458,-2.089162851634772,3.335847799087577,15.896169683333333,client3
16.764,-20.0465,-43.9632,0,0.1201562,0.01917139,-0.1838441,981.0,16.07843,90.19608,5.558263e-05,1.873527,63.52941,12.62745,0.0,15.29412,14.5098,14.5098,CSVLog_20240920_092511,nivus,rjdf,16.764,0.003999999999997783,-2.089162851634772,3.335847799087577,18.14198645,client3
17.779,-20.0465,-43.9632,0,-0.05829234,-0.1006365,-0.2231228,980.0,16.47059,90.19608,1.816536e-05,2.262645,63.52941,12.62745,0.0,18.03922,14.5098,14.5098,CSVLog_20240920_092511,nivus,rjdf,17.779,0.0030000000000001137,-2.089162851634772,3.335847799087577,21.909945750000002,client3
18.769,-20.0465,-43.9632,0,0.009241793,0.04528483,-0.2833579,980.5,12.94118,90.19608,5.312659e-06,1.496498,63.52941,12.62745,0.0,9.803922,14.11765,14.5098,CSVLog_20240920_092511,nivus,rjdf,18.769,0.005999999999996675,-2.089162851634772,3.335847799087577,14.491088966666666,client3
19.779,-20.0465,-43.96319,0,0.02738864,-0.05054659,0.1751685,983.0,15.68627,90.19608,2.558657,1.838178,63.52941,12.62745,0.0,14.5098,14.5098,14.5098,CSVLog_20240920_092511,nivus,rjdf,19.779,0.006000000000000227,-1.044581425485151,3.335847799087577,17.7996903,client3
20.74,-20.0465,-43.96318,0,0.04078973,-0.06898376,0.3781241,993.0,14.5098,90.19608,0.2530341,1.807137,63.52941,12.62745,0.0,12.54902,14.5098,14.5098,CSVLog_20240920_092511,nivus,rjdf,20.74,0.0030000000000001137,0.0,3.335847799087577,17.49910995,client3
21.75,-20.04651,-43.96318,0,0.04702416,0.1438997,0.2025792,979.0,15.68627,90.19608,2.83854,1.742521,63.52941,12.62745,0.0,13.33333,14.5098,14.5098,CSVLog_20240920_092511,nivus,rjdf,21.75,0.0030000000000001137,0.0,2.2238985328429384,16.873411683333334,client3
22.785,-20.04651,-43.96318,0,-0.09287126,-0.1320813,0.07233206,874.0,22.35294,90.19608,2.524171,2.71055,63.52941,12.62745,0.0,26.27451,14.5098,14.5098,CSVLog_20240920_092511,nivus,rjdf,22.785,0.004999999999999005,0.0,2.2238985328429384,26.24715916666667,client3
23.784,-20.04652,-43.96318,1,-0.07548017,-0.3691881,-0.1147247,1003.0,24.31373,90.19608,1.988473,2.828824,63.52941,12.62745,282.8821,27.45098,14.5098,14.5098,CSVLog_20240920_092511,nivus,rjdf,23.784,0.003999999999997783,0.0,1.1119492662446384,27.392445733333332,client3
24.783,-20.04652,-43.96318,1,0.03706872,0.3494154,0.1734204,963.0,21.96078,90.19608,0.8782271,3.192946,63.52941,12.62745,319.2943,25.4902,14.5098,14.5098,CSVLog_20240920_092511,nivus,rjdf,24.783,0.005000000000002558,0.0,1.1119492662446384,30.918360433333334,client3
25.706,-20.04652,-43.96318,0,0.08141942,-0.0097613,0.07537816,1020.5,15.29412,90.19608,0.8743353,2.139692,63.52941,12.62745,0.0,15.68627,14.5098,14.5098,CSVLog_20240920_092511,nivus,rjdf,25.706,0.0030000000000001137,0.0,1.1119492662446384,20.719350866666666,client3
26.726,-20.04652,-43.96318,0,0.06433397,0.02778947,0.3281418,1033.5,16.07843,90.19608,2.251954,2.14987,63.52941,12.62745,0.0,14.90196,14.5098,14.5098,CSVLog_20240920_092511,nivus,rjdf,26.726,0.0019999999999988916,0.0,1.1119492662446384,20.817907833333333,client3
27.764,-20.04651,-43.96318,0,0.03040904,-0.2590033,0.02284767,990.5,16.86275,90.19608,2.161617,2.028906,63.52941,12.62745,0.0,17.64706,14.5098,14.5098,CSVLog_20240920_092511,nivus,rjdf,27.764,0.003999999999997783,0.0,2.2238985328429384,19.646573099999998,client3
28.797,-20.04651,-43.96317,2,0.07322851,0.09101654,-0.09232616,1011.0,25.4902,90.19608,0.6751891,3.299716,63.52941,12.62745,164.9857,29.41176,14.5098,14.5098,CSVLog_20240920_092511,nivus,rjdf,28.797,0.0030000000000001137,1.0445813935518453,2.2238985328429384,31.952249933333338,client3
29.78,-20.04651,-43.96317,2,0.1176289,-0.006508077,-0.1634042,971.0,86.27451,90.19608,1.037241,3.455211,63.52941,12.62745,172.7604,29.41176,14.5098,14.5098,CSVLog_20240920_092511,nivus,rjdf,29.78,0.005000000000002558,1.0445813935518453,2.2238985328429384,33.45795985,client3
