accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,lat,lon,fuel_rate,instant_fuel_economy,engine_rpm,calculated_load_value,vehicle_speed,mass_air_flow,absolute_throttle_pos,fuel_rail_pressure_vacuum,fuel_rail_pressure,fuel_level,alcohol_fuel_percentage,engine_fuel_rate,vehicle_fuel_rate,fuel_level_a,fuel_level_b,id_route,vehicle,loc_coleta,time_sec,dt,P_kW,client
0.51,4.2,-8.2,0.01,0.0,-0.03,,,,,,,,,,,,,,,,,,tabela_final-16-spin-circuito-t1,spin,eletronuclear,10334.706,0.018000000000029104,,client1
-0.6852925,1.16987,0.9700696,,,,-23.00595,-44.45691,1.657308,0.0,948.5,38.03922,0.0,4.98,24.31373,0.0,0.0,52.54902,33.33333,0.0,0.0,0.0,0.0,tabela_final-16-spin-circuito-t1,spin,eletronuclear,10335.525,0.0010000000002037268,16.0482658,client1
-0.3049716,-0.2716496,2.109592,,,,-23.00595,-44.45691,1.713883,0.0,950.5,39.60784,0.0,5.15,24.31373,0.0,0.0,52.54902,33.33333,0.0,0.0,0.0,0.0,tabela_final-16-spin-circuito-t1,spin,eletronuclear,10336.381,0.0019999999985884642,16.596100383333333,client1
-1.038229,0.5150899,-0.5899045,,,,-23.00595,-44.45691,1.747162,0.0,961.0,39.60784,0.0,5.25,24.31373,0.0,0.0,52.54902,33.33333,0.0,0.0,0.0,0.0,tabela_final-16-spin-circuito-t1,spin,eletronuclear,10337.392,0.004999999999199645,16.91835203333333,client1
-0.01440036,-0.1531973,0.2598181,,,,-23.00595,-44.45691,1.680604,0.0,966.0,37.64706,0.0,5.05,24.31373,0.0,0.0,52.54902,33.33333,0.0,0.0,0.0,0.0,tabela_final-16-spin-circuito-t1,spin,eletronuclear,10338.387,0.005000000001018634,16.27384873333333,client1
-4.418896,-6.514431,6.179745,,,,-23.00595,-44.45691,2.146513,0.0,995.25,46.27451,0.0,6.45,26.27451,0.0,0.0,52.54902,33.33333,0.0,0.0,0.0,0.0,tabela_final-16-spin-circuito-t1,spin,eletronuclear,10339.387,0.0010000000002037268,20.785400883333335,client1
-0.7686884,1.711568,1.438644,,,,-23.00595,-44.45691,1.886935,0.0,877.0,49.01961,0.0,5.67,26.27451,0.0,0.0,52.54902,33.33333,0.0,0.0,0.0,0.0,tabela_final-16-spin-circuito-t1,spin,eletronuclear,10340.367,0.0020000000004074536,18.271820583333334,client1
1.22,5.41,-9.38,-0.0,0.18,0.25,-23.00595,-44.45691,,,,,0.0,,,,,,,,,,,tabela_final-16-spin-circuito-t1,spin,eletronuclear,10340.706,0.016999999999825377,,client1
0.1721476,0.4977711,-0.8145438,,,,-23.00595,-44.45691,2.149841,0.0,974.25,47.05882,0.0,6.46,26.27451,0.0,0.0,52.54902,33.33333,0.0,0.0,0.0,0.0,tabela_final-16-spin-circuito-t1,spin,eletronuclear,10341.395,0.006000000001222361,20.817627016666666,client1
5.18,4.86,-9.26,-0.03,0.35,0.48,-23.00595,-44.45691,,,,,0.36302524913212764,,,,,,,,,,,tabela_final-16-spin-circuito-t1,spin,eletronuclear,10341.611,0.21600000000034925,,client1
