lat,lon,fuel_rate,instant_fuel_economy,accel_y,accel_x,accel_z,engine_rpm,calculated_load_value,vehicle_speed,mass_air_flow,fuel_rail_pressure,fuel_level,id_route,vehicle,loc_coleta,time_sec,dt,x,y,P_kW,client
-23.00189,-44.47629,0.0,0.0,-0.4504203,0.2186342,0.465462,805,25.88235,0,15.46,42600,100,obd-16-van-trajeto-t3,van,eletronuclear,1.38,0.0,0.0,0.0,0.0,client2
-23.00189,-44.47629,5.218191,0.0,-0.1983571,0.2983165,0.8708062,805,26.27451,0,15.68,41200,100,obd-16-van-trajeto-t3,van,eletronuclear,2.513,0.0,0.0,0.0,61.60364375,client2
-23.00189,-44.47629,5.201551,0.0,4.736291,-0.5282137,-4.053238,794,26.27451,0,15.63,42400,100,obd-16-van-trajeto-t3,van,eletronuclear,3.507,0.0,0.0,0.0,61.40719930555556,client2
-23.00189,-44.47629,5.085074,0.0,-0.5202544,2.989971,-0.1825042,802,26.27451,0,15.28,42200,100,obd-16-van-trajeto-t3,van,eletronuclear,4.54,0.001000000000000334,0.0,0.0,60.03212361111111,client2
-23.00189,-44.47629,5.184912,0.0,-0.0522396,0.439317,0.01388633,806,26.27451,0,15.58,43000,100,obd-16-van-trajeto-t3,van,eletronuclear,5.572,0.0030000000000001137,0.0,0.0,61.21076666666667,client2
-23.00189,-44.47629,5.1716,0.0,0.001202769,0.02823498,0.02118374,807,24.70588,0,15.54,41200,100,obd-16-van-trajeto-t3,van,eletronuclear,6.544,0.0,0.0,0.0,61.05361111111111,client2
-23.00189,-44.47629,5.178256,0.0,0.06678835,0.002853167,0.2817224,800,25.4902,0,15.56,42400,100,obd-16-van-trajeto-t3,van,eletronuclear,7.543,0.001000000000000334,0.0,0.0,61.132188888888884,client2
-23.00189,-44.47629,5.131665,0.0,-0.06827655,0.2169901,0.02184512,797,25.88235,0,15.42,40800,100,obd-16-van-trajeto-t3,van,eletronuclear,8.534,0.0010000000000012221,0.0,0.0,60.58215625,client2
-23.00189,-44.47629,5.241487,0.0,-0.5360008,-2.235262,0.63023,805,25.88235,0,15.75,42200,100,obd-16-van-trajeto-t3,van,eletronuclear,9.549,0.0009999999999994458,0.0,0.0,61.87866597222222,client2
-23.00189,-44.47629,5.101713,0.0,0.1224794,1.252051,0.6808931,803,25.88235,0,15.33,43400,100,obd-16-van-trajeto-t3,van,eletronuclear,10.542,0.0009999999999994458,0.0,0.0,60.228556250000004,client2
-23.00189,-44.47629,5.194895,0.0,0.303184,1.2665,-2.055688,803,25.4902,0,15.61,41200,100,obd-16-van-trajeto-t3,van,eletronuclear,11.553,0.0010000000000012221,0.0,0.0,61.328621527777784,client2
-23.00189,-44.47629,5.204879,0.0,1.969733,-1.990549,-0.1611193,798,26.27451,0,15.64,40600,100,obd-16-van-trajeto-t3,van,eletronuclear,12.563,0.0,0.0,0.0,61.44648819444444,client2
-23.00189,-44.47629,5.144977,0.0,-0.9570733,-0.4450582,0.7871914,801,25.88235,0,15.46,40800,100,obd-16-van-trajeto-t3,van,eletronuclear,13.565,0.0009999999999994458,0.0,0.0,60.73931180555555,client2
-23.00188,-44.47629,5.184912,0.0,0.677795,-0.8788565,-2.429655,810,26.27451,0,15.58,42400,100,obd-16-van-trajeto-t3,van,eletronuclear,14.546,0.0,0.0,1.1119492662446384,61.21076666666667,client2
-23.00188,-44.47629,5.201551,0.0,0.2909829,-0.526679,-0.7489595,804,25.88235,0,15.63,42600,100,obd-16-van-trajeto-t3,van,eletronuclear,15.529,0.0,0.0,1.1119492662446384,61.40719930555556,client2
-23.00188,-44.4763,5.031827,0.0,-0.1471398,0.1886743,0.2292467,797,26.66667,0,15.12,43800,100,obd-16-van-trajeto-t3,van,eletronuclear,20.517,0.0,-1.0235404022108552,1.1119492662446384,59.40351319444444,client2
-23.00188,-44.4763,5.18824,0.0,0.08048546,-0.05177834,0.0549911,802,25.4902,0,15.59,40600,100,obd-16-van-trajeto-t3,van,eletronuclear,23.546,0.0009999999999976694,-1.0235404022108552,1.1119492662446384,61.25005555555556,client2
-23.00188,-44.4763,5.164944,0.0,0.2210201,-0.1289268,-0.7651345,798,26.27451,0,15.52,42200,100,obd-16-van-trajeto-t3,van,eletronuclear,24.564,0.0,-1.0235404022108552,1.1119492662446384,60.975033333333336,client2
-23.00188,-44.4763,5.161616,0.0,-0.1116981,0.1426736,0.05087079,800,26.27451,0,15.51,42600,100,obd-16-van-trajeto-t3,van,eletronuclear,25.547,0.0010000000000012221,-1.0235404022108552,1.1119492662446384,60.93574444444445,client2
-23.00188,-44.4763,5.211535,0.0,0.0346829,-0.06767084,-0.06991501,802,25.4902,0,15.66,40400,100,obd-16-van-trajeto-t3,van,eletronuclear,27.548,0.0009999999999976694,-1.0235404022108552,1.1119492662446384,61.52506597222221,client2
-23.00188,-44.4763,5.201551,0.0,0.02109217,-0.05767602,0.02093209,806,25.09804,0,15.63,41000,100,obd-16-van-trajeto-t3,van,eletronuclear,29.543,0.0,-1.0235404022108552,1.1119492662446384,61.40719930555556,client2
-23.00188,-44.4763,5.278093,0.0,-0.05180684,0.05068565,0.1662047,807,25.4902,0,15.86,42000,100,obd-16-van-trajeto-t3,van,eletronuclear,30.542,0.0,-1.0235404022108552,1.1119492662446384,62.31082013888889,client2
-23.00188,-44.4763,5.121681,0.0,0.02892979,-0.06235719,-0.02018283,799,26.27451,0,15.39,42400,100,obd-16-van-trajeto-t3,van,eletronuclear,31.573,0.0010000000000012221,-1.0235404022108552,1.1119492662446384,60.46428958333333,client2
-23.00188,-44.4763,5.23483,0.0,-0.02869676,-0.1876621,0.3532128,803,25.4902,0,15.73,42200,100,obd-16-van-trajeto-t3,van,eletronuclear,33.545,0.0,-1.0235404022108552,1.1119492662446384,61.80007638888889,client2
-23.00188,-44.4763,5.228175,0.0,-0.03443436,0.1513737,-0.2059562,803,26.66667,0,15.71,44200,100,obd-16-van-trajeto-t3,van,eletronuclear,34.513,0.0009999999999976694,-1.0235404022108552,1.1119492662446384,61.72151041666667,client2
-23.00188,-44.4763,5.13832,0.0,-0.0846766,0.126765,-0.02577586,801,25.4902,0,15.44,42400,100,obd-16-van-trajeto-t3,van,eletronuclear,36.528,0.0,-1.0235404022108552,1.1119492662446384,60.66072222222222,client2
-23.00188,-44.4763,5.194895,0.0,0.005801484,0.3444359,0.005193307,800,25.88235,0,15.61,42600,100,obd-16-van-trajeto-t3,van,eletronuclear,37.513,0.0009999999999976694,-1.0235404022108552,1.1119492662446384,61.328621527777784,client2
-23.00188,-44.4763,5.221519,0.0,-0.06937595,0.3088362,-0.1245622,794,26.27451,0,15.69,41400,100,obd-16-van-trajeto-t3,van,eletronuclear,37.569,0.0010000000000047748,-1.0235404022108552,1.1119492662446384,61.64293263888889,client2
-23.00188,-44.4763,5.25147,0.0,-0.1304472,0.4264402,0.1849502,802,25.09804,0,15.78,41600,100,obd-16-van-trajeto-t3,van,eletronuclear,39.603,0.0,-1.0235404022108552,1.1119492662446384,61.996520833333335,client2
-23.00188,-44.4763,5.1716,0.0,-0.04521675,0.08777611,0.06786504,803,25.4902,0,15.54,41800,100,obd-16-van-trajeto-t3,van,eletronuclear,40.548,0.0010000000000047748,-1.0235404022108552,1.1119492662446384,61.05361111111111,client2
-23.00188,-44.4763,5.108369,0.0,0.03684331,0.03935624,0.04490923,806,25.09804,0,15.35,41600,100,obd-16-van-trajeto-t3,van,eletronuclear,42.546,0.0,-1.0235404022108552,1.1119492662446384,60.30713402777778,client2
-23.00188,-44.4763,5.258126,0.0,-0.609948,0.2030341,1.310227,806,25.88235,0,15.8,42600,100,obd-16-van-trajeto-t3,van,eletronuclear,43.547,0.0,-1.0235404022108552,1.1119492662446384,62.07509861111111,client2
-23.00188,-44.4763,5.115025,0.0,0.000128618,0.2105514,0.04397511,801,26.66667,0,15.37,43200,100,obd-16-van-trajeto-t3,van,eletronuclear,44.534,0.0009999999999976694,-1.0235404022108552,1.1119492662446384,60.38571180555555,client2
-23.00188,-44.4763,5.101713,0.0,-0.1067172,0.2977706,0.4100316,800,25.88235,0,15.33,42400,100,obd-16-van-trajeto-t3,van,eletronuclear,44.554,0.0010000000000047748,-1.0235404022108552,1.1119492662446384,60.228556250000004,client2
-23.00188,-44.4763,5.148304,0.0,0.9474451,-2.073115,-1.811579,802,26.27451,0,15.47,44200,100,obd-16-van-trajeto-t3,van,eletronuclear,45.527,0.0,-1.0235404022108552,1.1119492662446384,60.7785888888889,client2
-23.00188,-44.4763,5.068434,0.0,-0.2123581,0.3158962,0.1086069,802,26.66667,0,15.23,42800,100,obd-16-van-trajeto-t3,van,eletronuclear,47.507,0.0,-1.0235404022108552,1.1119492662446384,59.835679166666665,client2
-23.00188,-44.4763,5.218191,0.0,-0.04279619,-0.06105396,0.3666372,805,26.27451,0,15.68,41600,100,obd-16-van-trajeto-t3,van,eletronuclear,48.499,0.0010000000000047748,-1.0235404022108552,1.1119492662446384,61.60364375,client2
