time,lat,lon,vehicle_speed,accel_x,accel_y,accel_z,engine_rpm,absolute_throttle_pos,fuel_level,gps_speed,fuel_rate,alcohol_fuel_percentage,fuel_remaining,instant_fuel_economy,calculated_load_value,accelerator_pedal_pos_d,accelerator_pedal_pos_e,id_route,vehicle,loc_coleta,time_sec,dt,x,y,P_kW,client
0.0,-20.22151,-43.97083,0,0.9714319,1.824224,6.986431,0.0,0.0,0.0,18.84102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CSVLog_20240920_090744,nivus,rjdf,0.0,0.0,0.0,0.0,0.0,client3
1.794,-20.22147,-43.97097,15,-0.8351229,-1.059423,-1.223665,1562.5,86.27451,18.82353,17.94405,5.343481,99.60784,2.635294,35.62318,56.47059,39.21569,39.21569,CSVLog_20240920_090744,nivus,rjdf,1.794,0.0050000000000001155,-14.607775625582898,4.447797065685877,51.742707683333336,client3
3.054,-20.22141,-43.97102,17,-0.2567784,1.160231,-2.881349,1835.0,82.74509,18.82353,20.56367,7.0729,99.60784,2.635294,41.60526,61.17647,36.86274,36.86274,CSVLog_20240920_090744,nivus,rjdf,3.054,0.0009999999999998899,-19.824842173327212,11.119492664568353,68.48924833333334,client3
3.995,-20.22137,-43.97105,20,-1.828831,1.682001,-0.08033442,1989.5,87.45098,18.82353,23.16182,8.089725,99.60784,2.635294,40.44859,63.13726,38.43137,38.82353,CSVLog_20240920_090744,nivus,rjdf,3.995,0.002000000000000224,-22.955083361763577,15.567289730254231,78.33550375,client3
4.933,-20.2213,-43.97107,27,-0.05118397,0.08528894,-0.5648355,1990.0,87.84314,18.82353,29.07575,11.14825,99.60784,2.635294,41.28978,56.07843,40.39216,40.78431,CSVLog_20240920_090744,nivus,rjdf,4.933,0.0009999999999994458,-25.041914757006325,23.350934595381347,107.95222083333336,client3
5.977,-20.22122,-43.9711,29,-0.190343,-0.06380808,0.4740222,1802.5,85.4902,18.82353,32.64817,10.33967,99.60784,2.635294,35.654,57.64706,41.17647,41.56863,CSVLog_20240920_090744,nivus,rjdf,5.977,0.002000000000000668,-28.17216134608842,32.2465287267531,100.12247116666667,client3
7.048,-20.22114,-43.97112,34,0.1524455,0.05004616,-0.1405048,1650.0,86.66666,18.82353,35.37799,8.336825,99.60784,2.635294,24.52006,66.27451,43.13726,43.52941,CSVLog_20240920_090744,nivus,rjdf,7.048,0.014000000000000234,-30.258995894095616,41.142122858478515,80.72825541666667,client3
7.958,-20.22105,-43.97116,35,0.004058565,-0.01385698,-0.08947388,1716.5,86.27451,18.82353,37.89037,8.860646,99.60784,2.635294,25.31611,68.62745,43.92157,44.31372,CSVLog_20240920_090744,nivus,rjdf,7.958,0.02200000000000024,-34.432660461494045,51.1496662560949,85.80058876666665,client3
8.959,-20.22095,-43.97121,39,1.213266,0.1072915,1.742572,1844.5,86.27451,18.82353,40.60246,11.03474,99.60784,2.635294,28.29419,75.29412,43.52941,43.92157,CSVLog_20240920_090744,nivus,rjdf,8.959,0.0019999999999988916,-39.6497429736635,62.269158921016924,106.85306566666667,client3
9.933,-20.22085,-43.97124,42,0.1906175,-0.04027089,-0.2722771,1965.5,86.66666,18.82353,44.53675,12.34268,99.60784,2.635294,29.3873,75.68627,43.52941,43.92157,CSVLog_20240920_090744,nivus,rjdf,9.933,0.002000000000000668,-42.779999591831036,73.38865158558528,119.51828466666667,client3
10.944,-20.22073,-43.97127,46,-0.2924545,-0.3771158,-0.2638232,2146.5,86.27451,18.82353,47.76902,13.8414,99.60784,2.635294,30.08998,74.90196,43.52941,43.92157,CSVLog_20240920_090744,nivus,rjdf,10.944,0.002000000000000668,-45.910261172547294,86.7320427826429,134.03089000000003,client3
11.945,-20.2206,-43.9713,50,-0.2245355,-0.3917081,1.062925,2367.5,87.45098,18.82353,53.45627,14.79302,99.60784,2.635294,29.58601,72.94118,43.92157,44.31372,CSVLog_20240920_090744,nivus,rjdf,11.945,0.0030000000000001137,-49.040526745781804,101.18738324629884,143.24574366666667,client3
12.947,-20.22045,-43.97133,56,0.05033184,0.185186,0.5437362,2146.5,87.05882,18.82353,58.90954,17.2381,99.60784,2.635294,30.7823,74.5098,43.52941,43.92157,CSVLog_20240920_090744,nivus,rjdf,12.947,0.0029999999999983373,-52.17079828902246,117.86662224315137,166.92226833333334,client3
