rounds,global_train_loss,client_1_train_loss,client_2_train_loss,client_3_train_loss,phase,global_eval_loss,client_1_eval_loss,client_2_eval_loss,client_3_eval_loss
1,0.07195324589572341,0.0567722749430017,0.05510160912420462,0.1256626442046099,train,,,,
2,0.047889340731721186,0.03618892944687718,0.033491935063917413,0.09222058116440919,train,,,,
3,0.02777297068224266,0.019708967587855616,0.019562715576308554,0.0547589640397309,train,,,,
4,0.02329027363718573,0.017043909291164863,0.01672789082782756,0.044615895323996305,train,,,,
5,0.021703121180472625,0.015933156611434844,0.014772518220731268,0.04321191745348286,train,,,,
6,0.020054470588188135,0.014692841143170696,0.01258934911877826,0.0421762783476466,train,,,,
7,0.019090604095155388,0.013756590591573158,0.01132821747535014,0.04179780229695724,train,,,,
8,0.018499713555225866,0.013134739666327722,0.01055675113967292,0.04162101568218562,train,,,,
9,0.01801236424562235,0.012604139170638117,0.010008142534496415,0.04131428427715748,train,,,,
10,0.01759980764814799,0.012173846830401392,0.009576727085391352,0.04096274941949317,train,,,,
11,0.0172952754362347,0.011836629194473843,0.009260712557785062,0.04072219492078131,train,,,,
12,0.017052085797268076,0.011579945671854507,0.00901829550952955,0.040493933798064694,train,,,,
13,0.01687706889457726,0.011381317412373337,0.008843844454092937,0.040346675909366914,train,,,,
14,0.016738273157637356,0.011254701174690731,0.008715061685059896,0.04017209503681811,train,,,,
15,0.016636746232281382,0.011153748092557512,0.008606718397079464,0.04008406405370874,train,,,,
1,,,,,eval,0.07644156241057823,0.039241127830603344,0.08373815026081897,0.10685962017005364
2,,,,,eval,0.04615191758546571,0.018130784969554548,0.05182039287645464,0.06869729492667417
3,,,,,eval,0.031541539351294494,0.010496282144032289,0.0355617303316274,0.04897910142287012
4,,,,,eval,0.029475935962530862,0.009789270764978493,0.032834978276699255,0.04664294425118411
5,,,,,eval,0.027703540918155595,0.009086204364369145,0.030126206213076507,0.04554334614867744
6,,,,,eval,0.02684531058158681,0.008557447721860505,0.028519229030373915,0.04587235779251186
7,,,,,eval,0.026478740630524637,0.008107774504976201,0.02786248430425985,0.046226291077148665
8,,,,,eval,0.026141197875230796,0.007714733418854119,0.027510004005521838,0.04598911123611722
9,,,,,eval,0.025826317564121324,0.0073900050211897165,0.027188254768447457,0.04570102179676327
10,,,,,eval,0.025581762814107536,0.007189061330966496,0.026894761350117,0.04550679488527113
11,,,,,eval,0.025407915712436727,0.007118044407438159,0.026643458374935272,0.04537084095090855
12,,,,,eval,0.025329652487862127,0.006849193233499077,0.02649222275032076,0.04568338698998369
13,,,,,eval,0.025210538418933715,0.007021115692153957,0.026272925264616734,0.04541806474133467
14,,,,,eval,0.02515938137907837,0.006975422498573785,0.026154983705169076,0.04550235686059616
15,,,,,eval,0.025091122802322795,0.006898756203789447,0.026035697456419284,0.0455531333861984
